locus_tag	ftype	length_bp	gene	EC_number	COG	product
BCDAKLAD_00509	gene	747	intS_1			
BCDAKLAD_00509	CDS	747	intS_1		COG0582	Prophage integrase IntS
BCDAKLAD_00510	gene	76				
BCDAKLAD_00510	tRNA	76				tRNA-Thr(cgt)
BCDAKLAD_00511	gene	1254	proA_1			
BCDAKLAD_00511	CDS	1254	proA_1	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
BCDAKLAD_00512	gene	1104	proB			
BCDAKLAD_00512	CDS	1104	proB	2.7.2.11	COG0263	Glutamate 5-kinase
BCDAKLAD_00513	gene	1053	phoE			
BCDAKLAD_00513	CDS	1053	phoE		COG3203	Outer membrane porin PhoE
BCDAKLAD_00514	gene	462				
BCDAKLAD_00514	CDS	462				hypothetical protein
BCDAKLAD_00515	gene	870				
BCDAKLAD_00515	CDS	870				hypothetical protein
BCDAKLAD_00516	gene	666				
BCDAKLAD_00516	CDS	666		3.1.3.-	COG0560	putative phosphatase
BCDAKLAD_00517	gene	885				
BCDAKLAD_00517	CDS	885				hypothetical protein
BCDAKLAD_00518	gene	873				
BCDAKLAD_00518	CDS	873				hypothetical protein
BCDAKLAD_00519	gene	939				
BCDAKLAD_00519	CDS	939				hypothetical protein
BCDAKLAD_00520	gene	843	phnC			
BCDAKLAD_00520	CDS	843	phnC	7.3.2.1	COG3638	Phosphate-import ATP-binding protein PhnC
BCDAKLAD_00521	gene	543	ecpR			
BCDAKLAD_00521	CDS	543	ecpR			HTH-type transcriptional regulator EcpR
BCDAKLAD_00522	gene	588	ecpA			
BCDAKLAD_00522	CDS	588	ecpA			Common pilus major fimbrillin subunit EcpA
BCDAKLAD_00523	gene	669	ecpB			
BCDAKLAD_00523	CDS	669	ecpB			putative fimbrial chaperone EcpB
BCDAKLAD_00524	gene	2526	ecpC			
BCDAKLAD_00524	CDS	2526	ecpC			putative outer membrane usher protein EcpC
BCDAKLAD_00525	gene	1644	ecpD			
BCDAKLAD_00525	CDS	1644	ecpD			Fimbria adhesin EcpD
BCDAKLAD_00526	gene	711	ecpE			
BCDAKLAD_00526	CDS	711	ecpE			putative fimbrial chaperone EcpE
BCDAKLAD_00527	gene	690	glnP_1			
BCDAKLAD_00527	CDS	690	glnP_1		COG0765	putative glutamine ABC transporter permease protein GlnP
BCDAKLAD_00528	gene	753	gltJ_1			
BCDAKLAD_00528	CDS	753	gltJ_1		COG0765	Glutamate/aspartate import permease protein GltJ
BCDAKLAD_00529	gene	819	glnQ_1			
BCDAKLAD_00529	CDS	819	glnQ_1	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
BCDAKLAD_00530	gene	810	glnH_1			
BCDAKLAD_00530	CDS	810	glnH_1		COG0834	ABC transporter glutamine-binding protein GlnH
BCDAKLAD_00531	gene	171				
BCDAKLAD_00531	CDS	171				hypothetical protein
BCDAKLAD_00532	gene	696	livF_1			
BCDAKLAD_00532	CDS	696	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
BCDAKLAD_00533	gene	783	lptB_1			
BCDAKLAD_00533	CDS	783	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
BCDAKLAD_00534	gene	1050				
BCDAKLAD_00534	CDS	1050				hypothetical protein
BCDAKLAD_00535	gene	900	livH_1			
BCDAKLAD_00535	CDS	900	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
BCDAKLAD_00536	gene	1137				
BCDAKLAD_00536	CDS	1137			COG0683	Leu/Ile/Val-binding protein 
BCDAKLAD_00537	gene	777	eutC_1			
BCDAKLAD_00537	CDS	777	eutC_1	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
BCDAKLAD_00538	gene	1389	eutB_1			
BCDAKLAD_00538	CDS	1389	eutB_1	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
BCDAKLAD_00539	gene	1380	yhdG			
BCDAKLAD_00539	CDS	1380	yhdG		COG0531	putative amino acid permease YhdG
BCDAKLAD_00540	gene	1410	rocC			
BCDAKLAD_00540	CDS	1410	rocC		COG0833	Amino-acid permease RocC
BCDAKLAD_00541	gene	933	mmuM			
BCDAKLAD_00541	CDS	933	mmuM	2.1.1.10	COG2040	Homocysteine S-methyltransferase
BCDAKLAD_00542	gene	963	tauA			
BCDAKLAD_00542	CDS	963	tauA		COG4521	Taurine-binding periplasmic protein
BCDAKLAD_00543	gene	768	tauB			
BCDAKLAD_00543	CDS	768	tauB	7.6.2.7	COG4525	Taurine import ATP-binding protein TauB
BCDAKLAD_00544	gene	828	ssuC_1			
BCDAKLAD_00544	CDS	828	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
BCDAKLAD_00545	gene	852	tauD			
BCDAKLAD_00545	CDS	852	tauD	1.14.11.17	COG2175	Alpha-ketoglutarate-dependent taurine dioxygenase
BCDAKLAD_00546	gene	1719				
BCDAKLAD_00546	CDS	1719				hypothetical protein
BCDAKLAD_00547	gene	492	rayT			
BCDAKLAD_00547	CDS	492	rayT		COG1943	REP-associated tyrosine transposase
BCDAKLAD_00548	gene	975	hemB_1			
BCDAKLAD_00548	CDS	975	hemB_1	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
BCDAKLAD_00549	gene	1161	ampH			
BCDAKLAD_00549	CDS	1161	ampH	3.4.-.-	COG1680	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
BCDAKLAD_00550	gene	534	rutB_1			
BCDAKLAD_00550	CDS	534	rutB_1	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
BCDAKLAD_00551	gene	1221	sbmA			
BCDAKLAD_00551	CDS	1221	sbmA		COG1133	Peptide antibiotic transporter SbmA
BCDAKLAD_00552	gene	1107				
BCDAKLAD_00552	CDS	1107				hypothetical protein
BCDAKLAD_00553	gene	303	yaiY			
BCDAKLAD_00553	CDS	303	yaiY			Inner membrane protein YaiY
BCDAKLAD_00554	gene	204				
BCDAKLAD_00554	CDS	204				hypothetical protein
BCDAKLAD_00555	gene	1098	ddlA			
BCDAKLAD_00555	CDS	1098	ddlA	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
BCDAKLAD_00556	gene	684				
BCDAKLAD_00556	CDS	684				hypothetical protein
BCDAKLAD_00557	gene	1200	sbnD_1			
BCDAKLAD_00557	CDS	1200	sbnD_1			Staphyloferrin B transporter
BCDAKLAD_00558	gene	261	iraP			
BCDAKLAD_00558	CDS	261	iraP			Anti-adapter protein IraP
BCDAKLAD_00559	gene	1416	phoA			
BCDAKLAD_00559	CDS	1416	phoA	3.1.3.1	COG1785	Alkaline phosphatase
BCDAKLAD_00560	gene	318	psiF			
BCDAKLAD_00560	CDS	318	psiF			Phosphate starvation-inducible protein PsiF
BCDAKLAD_00561	gene	810	proC			
BCDAKLAD_00561	CDS	810	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
BCDAKLAD_00562	gene	459				
BCDAKLAD_00562	CDS	459				hypothetical protein
BCDAKLAD_00563	gene	711				
BCDAKLAD_00563	CDS	711				hypothetical protein
BCDAKLAD_00564	gene	534	aroL			
BCDAKLAD_00564	CDS	534	aroL	2.7.1.71	COG0703	Shikimate kinase 2
BCDAKLAD_00565	gene	192	yaiA			
BCDAKLAD_00565	CDS	192	yaiA			putative protein YaiA
BCDAKLAD_00566	gene	666				
BCDAKLAD_00566	CDS	666				hypothetical protein
BCDAKLAD_00567	gene	285	ppnP			
BCDAKLAD_00567	CDS	285	ppnP	2.4.2.1	COG3123	Pyrimidine/purine nucleoside phosphorylase
BCDAKLAD_00568	gene	912	rdgC			
BCDAKLAD_00568	CDS	912	rdgC		COG2974	Recombination-associated protein RdgC
BCDAKLAD_00569	gene	915	mak_1			
BCDAKLAD_00569	CDS	915	mak_1	2.7.1.4	COG1940	Fructokinase
BCDAKLAD_00570	gene	3138	sbcC			
BCDAKLAD_00570	CDS	3138	sbcC		COG0419	Nuclease SbcCD subunit C
BCDAKLAD_00571	gene	1206	sbcD			
BCDAKLAD_00571	CDS	1206	sbcD		COG0420	Nuclease SbcCD subunit D
BCDAKLAD_00572	gene	690	phoB			
BCDAKLAD_00572	CDS	690	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
BCDAKLAD_00573	gene	1296	phoR			
BCDAKLAD_00573	CDS	1296	phoR	2.7.13.3		Phosphate regulon sensor protein PhoR
BCDAKLAD_00574	gene	1404	brnQ			
BCDAKLAD_00574	CDS	1404	brnQ		COG1114	Branched-chain amino acid transport system 2 carrier protein
BCDAKLAD_00575	gene	1374	proY_1			
BCDAKLAD_00575	CDS	1374	proY_1		COG1113	Proline-specific permease ProY
BCDAKLAD_00576	gene	1818	malZ			
BCDAKLAD_00576	CDS	1818	malZ	3.2.1.20	COG0366	Maltodextrin glucosidase
BCDAKLAD_00577	gene	903	yhaJ_1			
BCDAKLAD_00577	CDS	903	yhaJ_1			HTH-type transcriptional regulator YhaJ
BCDAKLAD_00578	gene	642				
BCDAKLAD_00578	CDS	642				hypothetical protein
BCDAKLAD_00579	gene	546				
BCDAKLAD_00579	CDS	546				hypothetical protein
BCDAKLAD_00580	gene	1869	nfdA_1			
BCDAKLAD_00580	CDS	1869	nfdA_1	3.5.1.91		N-substituted formamide deformylase
BCDAKLAD_00581	gene	861	fba			
BCDAKLAD_00581	CDS	861	fba	4.1.2.13		Fructose-bisphosphate aldolase
BCDAKLAD_00582	gene	963	yihV			
BCDAKLAD_00582	CDS	963	yihV	2.7.1.184		Sulfofructose kinase
BCDAKLAD_00583	gene	1392	ulaA_1			
BCDAKLAD_00583	CDS	1392	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
BCDAKLAD_00584	gene	288				
BCDAKLAD_00584	CDS	288				hypothetical protein
BCDAKLAD_00585	gene	444				
BCDAKLAD_00585	CDS	444				hypothetical protein
BCDAKLAD_00586	gene	603	ahpC_1			
BCDAKLAD_00586	CDS	603	ahpC_1	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
BCDAKLAD_00587	gene	582	acpH			
BCDAKLAD_00587	CDS	582	acpH	3.1.4.14	COG3124	Acyl carrier protein phosphodiesterase
BCDAKLAD_00588	gene	1065	queA			
BCDAKLAD_00588	CDS	1065	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
BCDAKLAD_00589	gene	1128	tgt			
BCDAKLAD_00589	CDS	1128	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
BCDAKLAD_00590	gene	333	yajC			
BCDAKLAD_00590	CDS	333	yajC		COG1862	Sec translocon accessory complex subunit YajC
BCDAKLAD_00591	gene	1815	secD			
BCDAKLAD_00591	CDS	1815	secD		COG0342	Protein translocase subunit SecD
BCDAKLAD_00592	gene	972	secF			
BCDAKLAD_00592	CDS	972	secF		COG0341	Protein translocase subunit SecF
BCDAKLAD_00593	gene	366				
BCDAKLAD_00593	CDS	366				hypothetical protein
BCDAKLAD_00594	gene	696				
BCDAKLAD_00594	CDS	696				hypothetical protein
BCDAKLAD_00595	gene	885	tsx			
BCDAKLAD_00595	CDS	885	tsx		COG3248	Nucleoside-specific channel-forming protein Tsx
BCDAKLAD_00596	gene	540	yajI			
BCDAKLAD_00596	CDS	540	yajI			putative lipoprotein YajI
BCDAKLAD_00597	gene	450	nrdR			
BCDAKLAD_00597	CDS	450	nrdR		COG1327	Transcriptional repressor NrdR
BCDAKLAD_00598	gene	1104	ribD			
BCDAKLAD_00598	CDS	1104	ribD		COG0117	Riboflavin biosynthesis protein RibD
BCDAKLAD_00599	gene	471	ribE			
BCDAKLAD_00599	CDS	471	ribE	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
BCDAKLAD_00600	gene	420	nusB			
BCDAKLAD_00600	CDS	420	nusB		COG0781	Transcription antitermination protein NusB
BCDAKLAD_00601	gene	972	thiL			
BCDAKLAD_00601	CDS	972	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
BCDAKLAD_00602	gene	504	pgpA			
BCDAKLAD_00602	CDS	504	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
BCDAKLAD_00603	gene	975	yajO_1			
BCDAKLAD_00603	CDS	975	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
BCDAKLAD_00604	gene	1863	dxs			
BCDAKLAD_00604	CDS	1863	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
BCDAKLAD_00605	gene	900	ispA			
BCDAKLAD_00605	CDS	900	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
BCDAKLAD_00606	gene	243	xseB			
BCDAKLAD_00606	CDS	243	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
BCDAKLAD_00607	gene	1449	thiI			
BCDAKLAD_00607	CDS	1449	thiI	2.8.1.4	COG0301	tRNA sulfurtransferase
BCDAKLAD_00608	gene	477				
BCDAKLAD_00608	CDS	477				hypothetical protein
BCDAKLAD_00609	gene	594	yajL			
BCDAKLAD_00609	CDS	594	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
BCDAKLAD_00610	gene	912	panE			
BCDAKLAD_00610	CDS	912	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
BCDAKLAD_00611	gene	492				
BCDAKLAD_00611	CDS	492				hypothetical protein
BCDAKLAD_00612	gene	1365	yajR			
BCDAKLAD_00612	CDS	1365	yajR		COG0477	Inner membrane transport protein YajR
BCDAKLAD_00613	gene	1179	iolG_1			
BCDAKLAD_00613	CDS	1179	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
BCDAKLAD_00614	gene	1365	pcaK_1			
BCDAKLAD_00614	CDS	1365	pcaK_1		COG0477	4-hydroxybenzoate transporter PcaK
BCDAKLAD_00615	gene	819				
BCDAKLAD_00615	CDS	819				hypothetical protein
BCDAKLAD_00616	gene	1689	ksdD			
BCDAKLAD_00616	CDS	1689	ksdD	1.3.99.4	COG1053	3-oxosteroid 1-dehydrogenase
BCDAKLAD_00617	gene	321				
BCDAKLAD_00617	CDS	321				hypothetical protein
BCDAKLAD_00618	gene	1677	kstD			
BCDAKLAD_00618	CDS	1677	kstD	1.3.99.4	COG1053	3-oxosteroid 1-dehydrogenase
BCDAKLAD_00619	gene	822	ydiB_1			
BCDAKLAD_00619	CDS	822	ydiB_1	1.1.1.282	COG0169	Quinate/shikimate dehydrogenase
BCDAKLAD_00620	gene	759	pcaR_1			
BCDAKLAD_00620	CDS	759	pcaR_1		COG1414	Pca regulon regulatory protein
BCDAKLAD_00621	gene	333				
BCDAKLAD_00621	CDS	333				hypothetical protein
BCDAKLAD_00622	gene	888	cyoE			
BCDAKLAD_00622	CDS	888	cyoE	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
BCDAKLAD_00623	gene	330	cyoD			
BCDAKLAD_00623	CDS	330	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
BCDAKLAD_00624	gene	612	cyoC			
BCDAKLAD_00624	CDS	612	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
BCDAKLAD_00625	gene	1992	cyoB			
BCDAKLAD_00625	CDS	1992	cyoB	7.1.1.3	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
BCDAKLAD_00626	gene	945	cyoA			
BCDAKLAD_00626	CDS	945	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
BCDAKLAD_00627	gene	1476	ampG_1			
BCDAKLAD_00627	CDS	1476	ampG_1		COG0477	Anhydromuropeptide permease
BCDAKLAD_00628	gene	579				
BCDAKLAD_00628	CDS	579				hypothetical protein
BCDAKLAD_00629	gene	315	bolA			
BCDAKLAD_00629	CDS	315	bolA		COG0271	DNA-binding transcriptional regulator BolA
BCDAKLAD_00630	gene	1299	tig			
BCDAKLAD_00630	CDS	1299	tig	5.2.1.8	COG0544	Trigger factor
BCDAKLAD_00631	gene	624	clpP			
BCDAKLAD_00631	CDS	624	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
BCDAKLAD_00632	gene	1275	clpX			
BCDAKLAD_00632	CDS	1275	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
BCDAKLAD_00633	gene	2355	lon_1			
BCDAKLAD_00633	CDS	2355	lon_1	3.4.21.53	COG0466	Lon protease
BCDAKLAD_00634	gene	273	hupB			
BCDAKLAD_00634	CDS	273	hupB		COG0776	DNA-binding protein HU-beta
BCDAKLAD_00635	gene	1875	ppiD			
BCDAKLAD_00635	CDS	1875	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
BCDAKLAD_00636	gene	369				
BCDAKLAD_00636	CDS	369			COG1555	putative protein
BCDAKLAD_00637	gene	402	fadM			
BCDAKLAD_00637	CDS	402	fadM	3.1.2.-	COG0824	Long-chain acyl-CoA thioesterase FadM
BCDAKLAD_00638	gene	702	queC			
BCDAKLAD_00638	CDS	702	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
BCDAKLAD_00639	gene	1701	sgrR_2			
BCDAKLAD_00639	CDS	1701	sgrR_2		COG4533	HTH-type transcriptional regulator SgrR
BCDAKLAD_00640	gene	819	cof			
BCDAKLAD_00640	CDS	819	cof	3.6.1.-	COG0561	HMP-PP phosphatase
BCDAKLAD_00641	gene	1053	sbnA			
BCDAKLAD_00641	CDS	1053	sbnA	2.5.1.140		N-(2-amino-2-carboxyethyl)-L-glutamate synthase
BCDAKLAD_00642	gene	459	decR			
BCDAKLAD_00642	CDS	459	decR		COG1522	DNA-binding transcriptional activator DecR
BCDAKLAD_00643	gene	1773	yheI			
BCDAKLAD_00643	CDS	1773	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
BCDAKLAD_00644	gene	1779	mdlB			
BCDAKLAD_00644	CDS	1779	mdlB	7.6.2.2	COG1132	Multidrug resistance-like ATP-binding protein MdlB
BCDAKLAD_00645	gene	339	glnK			
BCDAKLAD_00645	CDS	339	glnK		COG0347	Nitrogen regulatory protein P-II 2
BCDAKLAD_00646	gene	1287	amtB			
BCDAKLAD_00646	CDS	1287	amtB			Ammonia channel
BCDAKLAD_00647	gene	864	tesB			
BCDAKLAD_00647	CDS	864	tesB	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
BCDAKLAD_00648	gene	492	ybaY			
BCDAKLAD_00648	CDS	492	ybaY		COG3126	putative lipoprotein YbaY
BCDAKLAD_00649	gene	312	atl			
BCDAKLAD_00649	CDS	312	atl		COG3695	DNA base-flipping protein
BCDAKLAD_00650	gene	408				
BCDAKLAD_00650	CDS	408				hypothetical protein
BCDAKLAD_00651	gene	258				
BCDAKLAD_00651	CDS	258				hypothetical protein
BCDAKLAD_00652	gene	216				
BCDAKLAD_00652	CDS	216				hypothetical protein
BCDAKLAD_00653	gene	1428	norG_2			
BCDAKLAD_00653	CDS	1428	norG_2		COG1167	HTH-type transcriptional regulator NorG
BCDAKLAD_00654	gene	615				
BCDAKLAD_00654	CDS	615				hypothetical protein
BCDAKLAD_00655	gene	900	rcnA			
BCDAKLAD_00655	CDS	900	rcnA		COG2215	Nickel/cobalt efflux system RcnA
BCDAKLAD_00656	gene	273	rcnR			
BCDAKLAD_00656	CDS	273	rcnR		COG1937	Transcriptional repressor RcnR
BCDAKLAD_00657	gene	1560	pdeB			
BCDAKLAD_00657	CDS	1560	pdeB	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
BCDAKLAD_00658	gene	1110	malK_1			
BCDAKLAD_00658	CDS	1110	malK_1	7.5.2.1	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
BCDAKLAD_00659	gene	1233	cycB			
BCDAKLAD_00659	CDS	1233	cycB		COG2182	Cyclodextrin-binding protein
BCDAKLAD_00660	gene	1308				
BCDAKLAD_00660	CDS	1308				hypothetical protein
BCDAKLAD_00661	gene	852	malG_1			
BCDAKLAD_00661	CDS	852	malG_1		COG3833	Maltose/maltodextrin transport system permease protein MalG
BCDAKLAD_00662	gene	1203	ganB			
BCDAKLAD_00662	CDS	1203	ganB	3.2.1.89	COG3867	Arabinogalactan endo-beta-1,4-galactanase
BCDAKLAD_00663	gene	2058	bglY			
BCDAKLAD_00663	CDS	2058	bglY	3.2.1.23	COG1874	Beta-galactosidase BglY
BCDAKLAD_00664	gene	315				
BCDAKLAD_00664	CDS	315				hypothetical protein
BCDAKLAD_00665	gene	1272	lamB_3			
BCDAKLAD_00665	CDS	1272	lamB_3		COG4580	Maltoporin
BCDAKLAD_00666	gene	1071	lacI_1			
BCDAKLAD_00666	CDS	1071	lacI_1		COG1609	Lactose operon repressor
BCDAKLAD_00667	gene	264	rpmE2			
BCDAKLAD_00667	CDS	264	rpmE2		COG0254	50S ribosomal protein L31 type B
BCDAKLAD_00668	gene	141	ykgO			
BCDAKLAD_00668	CDS	141	ykgO		COG0257	50S ribosomal protein L36 2
BCDAKLAD_00669	gene	699				
BCDAKLAD_00669	CDS	699				hypothetical protein
BCDAKLAD_00670	gene	1452	gabR_1			
BCDAKLAD_00670	CDS	1452	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
BCDAKLAD_00671	gene	471	ylaC			
BCDAKLAD_00671	CDS	471	ylaC			Inner membrane protein YlaC
BCDAKLAD_00672	gene	567	maa			
BCDAKLAD_00672	CDS	567	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
BCDAKLAD_00673	gene	219	hha			
BCDAKLAD_00673	CDS	219	hha			Hemolysin expression-modulating protein Hha
BCDAKLAD_00674	gene	375	tomB			
BCDAKLAD_00674	CDS	375	tomB			Hha toxicity modulator TomB
BCDAKLAD_00675	gene	3147	acrB_1			
BCDAKLAD_00675	CDS	3147	acrB_1		COG0841	Multidrug efflux pump subunit AcrB
BCDAKLAD_00676	gene	1194	acrA			
BCDAKLAD_00676	CDS	1194	acrA			Multidrug efflux pump subunit AcrA
BCDAKLAD_00677	gene	651	acrR_1			
BCDAKLAD_00677	CDS	651	acrR_1		COG1309	HTH-type transcriptional regulator AcrR
BCDAKLAD_00678	gene	3348	mscK			
BCDAKLAD_00678	CDS	3348	mscK		COG3264	Mechanosensitive channel MscK
BCDAKLAD_00679	gene	900				
BCDAKLAD_00679	CDS	900				ISNCY family transposase ISSen7
BCDAKLAD_00680	gene	174				
BCDAKLAD_00680	CDS	174				hypothetical protein
BCDAKLAD_00681	gene	528	priC			
BCDAKLAD_00681	CDS	528	priC		COG3923	Primosomal replication protein N''
BCDAKLAD_00682	gene	378	ybaN			
BCDAKLAD_00682	CDS	378	ybaN		COG2832	Inner membrane protein YbaN
BCDAKLAD_00683	gene	552	apt			
BCDAKLAD_00683	CDS	552	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
BCDAKLAD_00684	gene	1908	dnaX			
BCDAKLAD_00684	CDS	1908	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
BCDAKLAD_00685	gene	333	ybaB			
BCDAKLAD_00685	CDS	333	ybaB		COG0718	Nucleoid-associated protein YbaB
BCDAKLAD_00686	gene	606	recR			
BCDAKLAD_00686	CDS	606	recR		COG0353	Recombination protein RecR
BCDAKLAD_00687	gene	1875	htpG			
BCDAKLAD_00687	CDS	1875	htpG		COG0326	Chaperone protein HtpG
BCDAKLAD_00688	gene	645	adk			
BCDAKLAD_00688	CDS	645	adk	2.7.4.3	COG0563	Adenylate kinase
BCDAKLAD_00689	gene	963	hemH			
BCDAKLAD_00689	CDS	963	hemH	4.99.1.1	COG0276	Ferrochelatase
BCDAKLAD_00690	gene	1305	gsk			
BCDAKLAD_00690	CDS	1305	gsk	2.7.1.73	COG0524	Inosine-guanosine kinase
BCDAKLAD_00691	gene	1677	ybaL			
BCDAKLAD_00691	CDS	1677	ybaL		COG1226	Putative cation/proton antiporter YbaL
BCDAKLAD_00692	gene	1221	fsr			
BCDAKLAD_00692	CDS	1221	fsr			Fosmidomycin resistance protein
BCDAKLAD_00693	gene	1653	ushA			
BCDAKLAD_00693	CDS	1653	ushA		COG0737	Protein UshA
BCDAKLAD_00694	gene	480	ybaK			
BCDAKLAD_00694	CDS	480	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
BCDAKLAD_00695	gene	795				
BCDAKLAD_00695	CDS	795				hypothetical protein
BCDAKLAD_00696	gene	2502	copA_1			
BCDAKLAD_00696	CDS	2502	copA_1	7.2.2.8	COG2217	Copper-exporting P-type ATPase
BCDAKLAD_00697	gene	411	cueR			
BCDAKLAD_00697	CDS	411	cueR		COG0789	HTH-type transcriptional regulator CueR
BCDAKLAD_00698	gene	459	ybbJ			
BCDAKLAD_00698	CDS	459	ybbJ		COG1585	Inner membrane protein YbbJ
BCDAKLAD_00699	gene	918	qmcA			
BCDAKLAD_00699	CDS	918	qmcA		COG0330	Protein QmcA
BCDAKLAD_00700	gene	678	fetA			
BCDAKLAD_00700	CDS	678	fetA	3.6.3.-	COG4619	putative iron export ATP-binding protein FetA
BCDAKLAD_00701	gene	783	fetB			
BCDAKLAD_00701	CDS	783	fetB		COG0390	putative iron export permease protein FetB
BCDAKLAD_00702	gene	855	cnoX			
BCDAKLAD_00702	CDS	855	cnoX		COG3118	Chaperedoxin
BCDAKLAD_00703	gene	771				
BCDAKLAD_00703	CDS	771				hypothetical protein
BCDAKLAD_00704	gene	594	tesA			
BCDAKLAD_00704	CDS	594	tesA	3.1.2.2	COG2755	Thioesterase 1/protease 1/lysophospholipase L1
BCDAKLAD_00705	gene	687				
BCDAKLAD_00705	CDS	687			COG1136	putative ABC transporter ATP-binding protein
BCDAKLAD_00706	gene	2415				
BCDAKLAD_00706	CDS	2415				hypothetical protein
BCDAKLAD_00707	gene	1146				
BCDAKLAD_00707	CDS	1146				hypothetical protein
BCDAKLAD_00708	gene	1077	selU			
BCDAKLAD_00708	CDS	1077	selU	2.5.1.-	COG2603	tRNA 2-selenouridine synthase
BCDAKLAD_00709	gene	1068	purK			
BCDAKLAD_00709	CDS	1068	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
BCDAKLAD_00710	gene	510	purE			
BCDAKLAD_00710	CDS	510	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
BCDAKLAD_00711	gene	339				
BCDAKLAD_00711	CDS	339				hypothetical protein
BCDAKLAD_00712	gene	723	lpxH			
BCDAKLAD_00712	CDS	723	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
BCDAKLAD_00713	gene	495	ppiB			
BCDAKLAD_00713	CDS	495	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
BCDAKLAD_00714	gene	1386	cysS_1			
BCDAKLAD_00714	CDS	1386	cysS_1	6.1.1.16	COG0215	Cysteine--tRNA ligase
BCDAKLAD_00715	gene	213	ybcJ			
BCDAKLAD_00715	CDS	213	ybcJ		COG2501	putative protein YbcJ
BCDAKLAD_00716	gene	867	folD			
BCDAKLAD_00716	CDS	867	folD		COG0190	Bifunctional protein FolD protein
BCDAKLAD_00717	gene	77				
BCDAKLAD_00717	tRNA	77				tRNA-Arg(tct)
BCDAKLAD_00718	gene	1230	intS_2			
BCDAKLAD_00718	CDS	1230	intS_2		COG0582	Prophage integrase IntS
BCDAKLAD_00719	gene	459				
BCDAKLAD_00719	CDS	459				hypothetical protein
BCDAKLAD_00720	gene	198				
BCDAKLAD_00720	CDS	198				hypothetical protein
BCDAKLAD_00721	gene	432				
BCDAKLAD_00721	CDS	432				hypothetical protein
BCDAKLAD_00722	gene	810				
BCDAKLAD_00722	CDS	810				hypothetical protein
BCDAKLAD_00723	gene	180				
